Joe Aillet Stadium,30600,Ruston,Louisiana,1960,Football,Louisiana Tech Bulldogs
Independence Stadium,50832,Shreveport,Louisiana,1925,Football,"no home team, Independence Bowl"
Eddie Robinson Stadium,25600,Grambling,Louisiana,1983,Football,Grambling State Tigers
Cajun Field,31000,Lafayette,Louisiana,1971,Football,Louisiana-Lafayette Ragin' Cajuns
Benson Field at Yulman Stadium,30000,New Orleans,Louisiana,2014,Football,Tulane Green Wave
Ace W. Mumford Stadium,29000,Baton Rouge,Louisiana,1928,Football,Southern Jaguars
Oriole Park at Camden Yards[24],48876,Baltimore,Maryland,1992,Baseball,Baltimore Orioles
Navy-Marine Corps Memorial Stadium,34000,Annapolis,Maryland,1959,Football,"Navy Midshipmen, Chesapeake Bayhawks"
M T Bank Stadium,71008,Baltimore,Maryland,1998,Football,Baltimore Ravens
FedExField[15],82000,Landover,Maryland,1997,Football,Washington Redskins
Byrd Stadium,51500,College Park,Maryland,1950,Football,Maryland Terrapins
Harvard Stadium,30323,Allston,Massachusetts,1903,Football,"Harvard Crimson, Boston Cannons"
Gillette Stadium,68756,Foxborough,Massachusetts,2002,Football,"New England Revolution, New England Patriots, UMass Minutemen"
Fitton Field,23500,Worcester,Massachusetts,1924,Football,Holy Cross Crusaders
Fenway Park[44],37402,Boston,Massachusetts,1912,Baseball,Boston Red Sox
Alumni Stadium,44500,Chestnut Hill,Massachusetts,1957,Football,Boston College Eagles
Waldo Stadium,30200,Kalamazoo,Michigan,1939,Football,Western Michigan Broncos
Spartan Stadium,75005,East Lansing,Michigan,1923,Football,Michigan State Spartans
Rynearson Stadium,30200,Ypsilanti,Michigan,1969,Football,Eastern Michigan Eagles
Michigan Stadium[1],107601,Ann Arbor,Michigan,1927,Football,Michigan Wolverines
Kelly/Shorts Stadium,30295,Mount Pleasant,Michigan,1972,Football,Central Michigan Chippewas
Ford Field,65000,Detroit,Michigan,2002,Football,"Detroit Lions, MAC Championship Game, Little Caesars Pizza Bowl"
Comerica Park[34],41782,Detroit,Michigan,2000,Baseball,Detroit Tigers
TCF Bank Stadium,50805,Minneapolis,Minnesota,2009,Football,Minnesota Golden Gophers
Target Field[40],39504,Minneapolis,Minnesota,2010,Baseball,Minnesota Twins
Hubert H. Humphrey Metrodome,64111,Minneapolis,Minnesota,1982,Multi-purpose,Minnesota Vikings
Vaught-Hemingway Stadium,64038,Oxford,Mississippi,1915,Football,Ole Miss Rebels
Mississippi Veterans Memorial Stadium,60492,Jackson,Mississippi,1941,Football,Jackson State Tigers
M. M. Roberts Stadium,36000,Hattiesburg,Mississippi,1932,Football,Southern Miss Golden Eagles
Jack Spinks Stadium,22500,Lorman,Mississippi,1992,Football,Alcorn State Braves
Davis Wade Stadium,61337,Starkville,Mississippi,1914,Football,Mississippi State Bulldogs
Faurot Field,71004,Columbia,Missouri,1926,Football,Missouri Tigers
Ewing M. Kauffman Stadium[41],39000,Kansas City,Missouri,1973,Baseball,Kansas City Royals
Edward Jones Dome at America's Center,66965,St. Louis,Missouri,1995,Football,St. Louis Rams
Busch Stadium[26],46861,St. Louis,Missouri,2006,Baseball,St. Louis Cardinals
Arrowhead Stadium,76416,Kansas City,Missouri,1972,Football,Kansas City Chiefs
Washington?Grizzly Stadium,25200,Missoula,Montana,1986,Football,Montana Grizzlies
TD Ameritrade Park Omaha,24000,Omaha,Nebraska,2011,Baseball,NCAA College World Series
Memorial Stadium[12],91000,Lincoln,Nebraska,1923,Football,Nebraska Cornhuskers
Sam Boyd Stadium,36800,Whitney,Nevada,1971,Football,"UNLV Rebels, annual Las Vegas Bowl and USA Sevensand Monster Jam World Finals"
Mackay Stadium[47],30000,Reno,Nevada,1966,Football,Nevada Wolf Pack and women's soccer
Red Bull Arena,25189,Harrison,New Jersey,2010,Soccer,New York Red Bulls
Princeton University Stadium,27800,Princeton,New Jersey,1998,Football,Princeton Tigers
MetLife Stadium,82500,East Rutherford,New Jersey,2010,Football,"New York Giants, New York Jets"
High Point Solutions Stadium,52454,Piscataway,New Jersey,1994,Football,Rutgers Scarlet Knights
University Stadium,40094,Albuquerque,New Mexico,1960,Football,"New Mexico Lobos, New Mexico Bowl"
Aggie Memorial Stadium,30343,Las Cruces,New Mexico,1978,Football,New Mexico State Aggies
Yankee Stadium[20],50291,Bronx,New York,2009,Baseball,"New York Yankees, New York City FC, Pinstripe Bowl"
UB Stadium,29013,Amherst,New York,1993,Football,Buffalo Bulls
Schoellkopf Field,25597,Ithaca,New York,1915,Football,Cornell Big Red
Ralph Wilson Stadium,73967,Orchard Park,New York,1973,Football,Buffalo Bills
Michie Stadium,40000,West Point,New York,1924,Football,Army Black Knights
Citi Field[33],41800,"Flushing, New York",New York,2009,Baseball,New York Mets
Carrier Dome,49262,Syracuse,New York,1980,Football,"Syracuse Orange, men's basketball, women's basketball, and men's lacrosse"
Wallace Wade Stadium,33941,Durham,North Carolina,1929,Football,Duke Blue Devils
The Bagwell Field at Dowdy?Ficklen Stadium,50000,Greenville,North Carolina,1963,Football,East Carolina Pirates
Kidd Brewer Stadium,23150,Boone,North Carolina,1962,Football,Appalachian State Mountaineers
Kidd Brewer Stadium,21650,Boone,North Carolina,1962,Football,Appalachian State Mountaineers
Kenan Memorial Stadium,63000,Chapel Hill,North Carolina,1926,Football,North Carolina Tar Heels
Carter-Finley Stadium[17],57583,Raleigh,North Carolina,1966,Football,NC State Wolfpack
BB T Field at Groves Stadium,31500,Winston-Salem,North Carolina,1968,Football,Wake Forest Demon Deacons
Bank of America Stadium,73778,Charlotte,North Carolina,1996,Football,"Carolina Panthers, Belk Bowl"
Aggie Stadium,21500,Greensboro,North Carolina,1981,Football,North Carolina A&T Aggies
The Glass Bowl,26248,Toledo,Ohio,1937,Football,Toledo Rockets
Stambaugh Stadium,20630,Youngstown,Ohio,1982,Football,Youngstown State Penguins
Rubber Bowl,31000,Akron,Ohio,1940,Football,local high school teams
Quicken Loans Arena,20562,Cleveland,Ohio,1994,Basketball,Cleveland Cavaliers
Progressive Field[43],38000,Cleveland,Ohio,1994,Baseball,Cleveland Indians
Paul Brown Stadium,65790,Cincinnati,Ohio,2000,Football,Cincinnati Bengals
Ohio Stadium[3],104944,Columbus,Ohio,1922,Football,Ohio State Buckeyes
Nippert Stadium,35097,Cincinnati,Ohio,1924,Football,Cincinnati Bearcats
InfoCision Stadium ? Summa Field,30000,Akron,Ohio,2009,Football,Akron Zips
Great American Ball Park[30],42059,Cincinnati,Ohio,2003,Baseball,Cincinnati Reds
Fred C. Yager Stadium,24286,Oxford,Ohio,1983,Football,Miami RedHawks
FirstEnergy Stadium,73200,Cleveland,Ohio,1999,Football,Cleveland Browns
Doyt L. Perry Stadium,28599,Bowling Green,Ohio,1966,Football,Bowling Green Falcons
Don Peden Stadium,24000,Athens,Ohio,1929,Football,Ohio Bobcats
Dix Stadium,"25,319[48]",Kent,Ohio,1969,Football,Kent State Golden Flashes
Columbus Crew Stadium,20455,Columbus,Ohio,1999,Soccer,Columbus Crew
H. A. Chapman Stadium,30000,Tulsa,Oklahoma,1930,Football,Tulsa Golden Hurricane
Gaylord Family Oklahoma Memorial Stadium,82112,Norman,Oklahoma,1925,Football,Oklahoma Sooners
Boone Pickens Stadium,60000,Stillwater,Oklahoma,1920,Football,Oklahoma State Cowboys
Reser Stadium,45674,Corvallis,Oregon,1953,Football,Oregon State Beavers
Providence Park,20438,Portland,Oregon,1926,Soccer,Portland Timbers
Autzen Stadium,53800,Eugene,Oregon,1967,Football,Oregon Ducks
PNC Park[42],38496,Pittsburgh,Pennsylvania,2001,Baseball,Pittsburgh Pirates
Lincoln Financial Field,68532,Philadelphia,Pennsylvania,2003,Football,"Philadelphia Eagles, Temple Owls, Army Navy Game(most years)"
Howard J. Lamade Stadium,"40,000[39]",South Williamsport,Pennsylvania,1959,Baseball,"no home team, hosts annual Little League World Series"
Heinz Field,65050,Pittsburgh,Pennsylvania,2001,Football,"Pittsburgh Steelers, Pittsburgh Steelers, Pittsburgh Panthers"
Franklin Field,52593,Philadelphia,Pennsylvania,1895,Football,Penn Quakers
Citizens Bank Park[28],43647,Philadelphia,Pennsylvania,2004,Baseball,Philadelphia Phillies
Beaver Stadium[2],106572,State College,Pennsylvania,1960,Football,Penn State Nittany Lions
Brown Stadium,20000,Providence,Rhode Island,1925,Football,Brown Bears
Williams-Brice Stadium,80250,Columbia,South Carolina,1934,Football,South Carolina Gamecocks
Oliver C. Dawson Stadium,22000,Orangeburg,South Carolina,1955,Football,South Carolina State Bulldogs
Memorial Stadium,82000,Clemson,South Carolina,1942,Football,Clemson Tigers
Johnson Hagood Stadium,21000,Charleston,South Carolina,1946,Football,The Citadel Bulldogs
"W. Max Finley Stadium, Gordon L. Davenport Field",20668,Chattanooga,Tennessee,1997,Football,Chattanooga Mocs
Vanderbilt Stadium at Dudley Field,39790,Nashville,Tennessee,1922,Football,Vanderbilt Commodores
Nissan Stadium,68798,Nashville,Tennessee,1999,Football,"Tennessee Titans, Tennessee State Tigers, Franklin American Mortgage Company Music City Bowl"
Neyland Stadium[4],102455,Knoxville,Tennessee,1921,Football,Tennessee Volunteers
Liberty Bowl Memorial Stadium,62380,Memphis,Tennessee,1965,Football,Memphis Tigers
Sun Bowl stadium,51500,El Paso,Texas,1963,Football,UTEP Miners and Sun Bowl
Rice Stadium,70000,Houston,Texas,1950,Football,Rice Owls
Rangers Ballpark in Arlington[22],49115,Arlington,Texas,1994,Baseball,Texas Rangers
NRG Stadium,71500,Houston,Texas,2002,Football,"Houston Texans, Meineke Car Care Bowl of Texas"
Minute Maid Park[37],40950,Houston,Texas,2000,Baseball,Houston Astros
Mesquite Memorial Stadium,20000,Mesquite,Texas,1977,Football,Local high schools
McLane Stadium,45140,Waco,Texas,2014,Football,Baylor Bears
Kyle Field,102512,College Station,Texas,1927,Football,Texas A&M Aggies
Kimbrough Memorial Stadium,20000,Canyon,Texas,1959,Football,"West Texas A&M University, local high schools"
Jones AT T Stadium,61000,Lubbock,Texas,1947,Football,Texas Tech Red Raiders
John O'Quinn Field at Corbin J. Robertson Stadium,32000,Houston,Texas,1942,Football,Houston Cougars
Jim Wacker Field at Bobcat Stadium,30000,San Marcos,Texas,1981,Football,Texas State Bobcats
Gerald J. Ford Stadium,32000,University Park,Texas,2000,Football,SMU Mustangs
FC Dallas Stadium,20500,Frisco,Texas,2005,Soccer,"FC Dallas, NCAA Division I Football Championship Game (FCS)"
Darrell K. Royal?Texas Memorial Stadium[7],100119,Austin,Texas,1924,Football,Texas Longhorns
Cotton Bowl,92100,Dallas,Texas,1930,Football,"no home team, used for annual Red River Rivalry, State Fair Classic, and Heart of Dallas Bowl"
BBVA Compass Stadium,22000,Houston,Texas,2012,Football,"Houston Dynamo, Houston Dynamo, Texas Southern Tigers"
