SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,1250 Mohawk Trl,Ohatchee,AL,36271,399000,4,3.0,Mohawk Estates,,22651,2004,2,Garage,145,Active,,,,,399000,,,http://www.redfin.com/AL/Ohatchee/1250-Mohawk-Trl-36271/home/80658452,Greater Alabama MLS,571043,FlatFee.com,N,Y,33.8151987,-86.054202,false
MLS Listing,Vacant Land,630 Mohawk Bluff Dr Unit 2 PARCEL,Ohatchee,AL,36271,102000,,,Mohawk Estates,,120661,,0,,145,Active,,,,,102000,,,http://www.redfin.com/AL/Ohatchee/630-Mohawk-Bluff-Dr-36271/unit-2PARCEL/home/101765505,Greater Alabama MLS,630655,ERA King Real Estate,N,Y,33.812715,-86.0541791,false
MLS Listing,Single Family Residential,51 Willow Point Dr,Ohatchee,AL,36271,279900,3,2.0,Willow Point,,4791,2007,2,Garage,145,Active,,,,,279900,,,http://www.redfin.com/AL/Ohatchee/51-Willow-Point-Dr-36271/home/101748833,Greater Alabama MLS,724947,Moody Realty,N,Y,33.8287731260061,-86.045730561018,false
MLS Listing,Single Family Residential,400 Three Cedars Rd,Ohatchee,AL,36271,219900,2,2.0,,,1611720,1995,2,Garage,145,Active,,,,,219900,,,http://www.redfin.com/AL/Ohatchee/400-3-Cedars-Rd-36271/home/101751252,Greater Alabama MLS,631444,Keller Williams Realty Group,N,Y,33.7563,-86.037,false
MLS Listing,Vacant Land,0 Ty Pl Unit 3 LOTS,Ohatchee,AL,36271,25000,,,Five W Lakesite,,84942,,0,,79,Active,,,,,25000,,,http://www.redfin.com/AL/Ohatchee/0-Ty-Pl-36271/unit-3-LOTS/home/101763215,Greater Alabama MLS,736817,Keller Williams Realty Group,N,Y,33.825235,-86.044079,false
MLS Listing,Single Family Residential,124 Boulder Point Ln,Ohatchee,AL,36271,649900,4,2.5,Mohawk Estates,,43560,1998,3,Garage,86,Active,,,,,649900,,,http://www.redfin.com/AL/Ohatchee/124-Boulder-Point-Ln-36271/home/80658980,Greater Alabama MLS,736520,"Lake Homes Realty, LLC",N,Y,33.8131555,-86.0562419,false
MLS Listing,Vacant Land,Lot #27 Boulder Point Ln Lot 27,Ohatchee,AL,36271,75000,,,Mohawk Estates,,43560,,0,,145,Active,,,,,75000,,,http://www.redfin.com/AL/Ohatchee/Lot-27-Boulder-Point-Ln-36271/unit-27/home/101763936,Greater Alabama MLS,726066,"Lake Homes Realty, LLC",N,Y,33.813122,-86.056221,false
MLS Listing,Vacant Land,Lot #4 Mudd St #4,Ohatchee,AL,36271,7500,,,,,23522,,0,,121,Active,,,,,7500,,,http://www.redfin.com/AL/Ohatchee/Lot-4-Mudd-St-36271/unit-4/home/102085460,Greater Alabama MLS,734426,Keller Williams Realty Group,N,Y,33.757606,-86.044758,false
MLS Listing,Vacant Land,0 Mohawk Ct #0,Ohatchee,AL,36271,135000,,,Mohawk Estates,,54450,,0,,131,Active,,,,,135000,,,http://www.redfin.com/AL/Ohatchee/0-Mohawk-CT-36271/unit-0/home/101910892,Greater Alabama MLS,734011,"Lake Homes Realty, LLC",N,Y,33.8142445,-86.0495804,false
MLS Listing,Vacant Land,0 N N Unit S28 T1,Ohatchee,AL,36271,29000,,,Calhoun County,,361548,,0,,145,Active,,,,,29000,,,http://www.redfin.com/AL/Ohatchee/Ohatchee-Rd-36271/unit-S28-T1/home/101763290,Greater Alabama MLS,724193,Keller Williams Realty Group,N,Y,33.7816470338417,-86.0063490867615,false

