SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,A St Unit 6 AC (Unable to map),Oneonta,AL,35121,39900,,,,,261360,,0,,145,Active,,,,,39900,,,http://www.redfin.com/AL/Oneonta/A-St-35121/unit-6-AC/home/101766465,Greater Alabama MLS,478275,"M & R Realty, LLC",N,Y,,,false
MLS Listing,Vacant Land,St Andrews Pkwy #145,Oneonta,AL,35121,39900,,,Limestone Springs,,34848,,0,,145,Active,,,,2015-11-04,47500,,,http://www.redfin.com/AL/Oneonta/145-Saint-Andrews-Pkwy-35121/unit-145/home/101762887,Greater Alabama MLS,558560,"Blount Realty Team, Inc.",N,Y,33.899384,-86.55545,false
MLS Listing,Vacant Land,Marsh St Unit 14&15,Oneonta,AL,35121,7500,,,North Highlands,,,,0,,145,Active,,,,,7500,,,http://www.redfin.com/AL/Oneonta/Marsh-St-35121/unit-14-15/home/101762979,Greater Alabama MLS,619289,"Blount Realty Team, Inc.",N,Y,33.965569,-86.459058,false
MLS Listing,Single Family Residential,253 St Andrews Pkwy,Oneonta,AL,35121,342900,4,3.5,Limestone Springs,,30491,2000,2,Garage,145,Active,,,,,342900,,,http://www.redfin.com/AL/Oneonta/253-Saint-Andrews-Pkwy-35121/home/101749668,Greater Alabama MLS,562213,RealtySouth-Oneonta/Blount Co,N,Y,33.883526,-86.576222,false
MLS Listing,Vacant Land,0 Quail Ridge Dr #1,Oneonta,AL,35121,19500,,,Cleveland/LocustFork/Oneonta,,50965,,0,,145,Active,,,,,19500,,,http://www.redfin.com/AL/Oneonta/0-Quail-Ridge-RD-35121/unit-1/home/101762856,Greater Alabama MLS,730015,"Blount Realty Team, Inc.",N,Y,33.9797095,-86.4590245,false
MLS Listing,Vacant Land,Virginia Ave Lot 2,Oneonta,AL,35121,69000,,,,,250034,,0,,145,Active,,,,,69000,,,http://www.redfin.com/AL/Oneonta/2-Virginia-St-35121/unit-2/home/101764859,Greater Alabama MLS,633883,"M & R Realty, LLC",N,Y,33.9509315,-86.4599991,false
MLS Listing,Vacant Land,Virginia Ave Lot 1,Oneonta,AL,35121,62000,,,,,193842,,0,,145,Active,,,,,62000,,,http://www.redfin.com/AL/Oneonta/1-Virginia-St-35121/unit-1/home/101764858,Greater Alabama MLS,633868,"M & R Realty, LLC",N,Y,33.9509315,-86.4599991,false
MLS Listing,Vacant Land,Lakeshore Cir Unit 1/2 is Lot 6 and 1 Lot is entire Lot 7 (Unable to map),Oneonta,AL,35121,9000,,,Highland Lake,,30491,,0,,145,Active,,,,,9000,,,http://www.redfin.com/AL/Oneonta/Lakeshore-Cir-35121/unit-1-2-is-Lot-6-and-1-Lot-is-entire-Lot-7/home/101765783,Greater Alabama MLS,731084,RealtySouth-Oneonta/Blount Co,N,Y,,,false
MLS Listing,Vacant Land,000 Beech St #34,Oneonta,AL,35121,5000,,,Eastwood,,21780,,0,,145,Active,,,,,5000,,,http://www.redfin.com/AL/Oneonta/000-Beech-St-35121/unit-34/home/101765374,Greater Alabama MLS,562805,"Blount Realty Team, Inc.",N,Y,33.942704,-86.458243,false
MLS Listing,Vacant Land,Magnolia St #911,Oneonta,AL,35121,15000,,,Eastwood,,,,0,,145,Active,,,,,15000,,,http://www.redfin.com/AL/Oneonta/911-Magnolia-Ave-35121/unit-911/home/101765375,Greater Alabama MLS,562809,"Blount Realty Team, Inc.",N,Y,33.941983,-86.462105,false
MLS Listing,Vacant Land,Edgewood Cir SE Edgewood Cir #6,Oneonta,AL,35121,27500,,,Eastwood,,,,0,,145,Active,,,,,27500,,,http://www.redfin.com/AL/Oneonta/Edgewood-Cir-SE-Edgewood-Cir-35121/unit-6/home/101765378,Greater Alabama MLS,562817,"Blount Realty Team, Inc.",N,Y,33.947139,-86.457847,false
MLS Listing,Single Family Residential,1112 Park Ave,Oneonta,AL,35121,110000,3,3.0,Oneonta,,,1960,6,Garage,145,Active,,,,,110000,,,http://www.redfin.com/AL/Oneonta/1112-Park-Ave-35121/home/80796251,Greater Alabama MLS,601641,"Blount Realty Team, Inc.",N,Y,33.960451,-86.465294,false
MLS Listing,Single Family Residential,1410 Park Ave,Oneonta,AL,35121,221900,3,2.0,,,,2003,2,Garage,64,Active,,,,,221900,,,http://www.redfin.com/AL/Oneonta/1410-Park-Ave-35121/home/102901191,Greater Alabama MLS,738263,ERA King - Birmingham,N,Y,33.962639,-86.463446,false
MLS Listing,Vacant Land,0 6th Ave E Lot 1,Oneonta,AL,35121,4000,,,,,6359,,0,,145,Active,,,,,4000,,,http://www.redfin.com/AL/Oneonta/0-6th-Ave-E-35121/unit-1/home/101762942,Greater Alabama MLS,612664,RealtySouth-Oneonta/Blount Co,N,Y,33.95083,-86.475613,false
MLS Listing,Single Family Residential,431 Palisades Park Rd,Oneonta,AL,35121,195000,3,2.5,,,65340,2015,2,Garage,145,Active,,,,2015-12-07,219900,,,http://www.redfin.com/AL/Oneonta/431-Palisades-Park-Rd-35121/home/101749432,Greater Alabama MLS,629977,Sweet Homelife,N,Y,33.981415853069,-86.4683115235605,false
MLS Listing,Single Family Residential,211 Ingram Ave,Oneonta,AL,35121,105000,3,2.0,Oneonta,,,2004,1,,107,Active,,,,2016-01-20,115000,2014-02-27,89625.0,http://www.redfin.com/AL/Oneonta/211-Ingram-Ave-W-35121/home/101756453,Greater Alabama MLS,735443,"Blount Realty Team, Inc.",N,Y,33.942089,-86.479107,false
MLS Listing,Single Family Residential,990 Springville Blvd,Oneonta,AL,35121,48000,3,2.0,Oneonta,,8712,1950,2,,145,Active,,,,,48000,,,http://www.redfin.com/AL/Oneonta/990-Springville-Blvd-35121/home/80796972,Greater Alabama MLS,608896,RealtySouth-Oneonta/Blount Co,N,Y,33.9367366,-86.4704174,false
For-Sale-by-Owner Listing,Single Family Residential,101 Jefferson Ave W,Oneonta,AL,35121,69995,3,1.0,Oneonta,,,,0,,361,Active,,,,,69995,,,http://www.redfin.com/AL/Oneonta/101-Jefferson-Ave-W-35121/home/97987207,FSBO.com,174087,FSBO.com,N,Y,33.941262,-86.47534,false
MLS Listing,Vacant Land,0 Hickory Ridge Rd Unit 4 parcels,Oneonta,AL,35121,299900,,,,,2299968,,0,,34,Active,,,,,299900,,,http://www.redfin.com/AL/Oneonta/Hickory-Ridge-Rd-35121/unit-4-parcels/home/103925885,Greater Alabama MLS,741070,RealtySouth-Oneonta/Blount Co,N,Y,33.930523,-86.473348,false
MLS Listing,Single Family Residential,164 Scenic Trl,Oneonta,AL,35121,260000,4,2.5,Pine Brook,,33105,1992,2,Garage,145,Active,,,,,260000,,,http://www.redfin.com/AL/Oneonta/164-Scenic-Trl-35121/home/101751341,Greater Alabama MLS,723368,RE/MAX Marketplace,N,Y,33.955729,-86.454866,false
